criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,tree_depth,leaf_count,val_accuracy,val_macro_f1
entropy,,2,5,0.003,balanced,11,57,0.6809954751131222,0.647456910318318
entropy,,5,5,0.003,balanced,11,57,0.6809954751131222,0.647456910318318
entropy,,10,5,0.003,balanced,11,57,0.6809954751131222,0.647456910318318
log_loss,12.0,2,5,0.003,balanced,11,57,0.6809954751131222,0.647456910318318
log_loss,12.0,5,5,0.003,balanced,11,57,0.6809954751131222,0.647456910318318
log_loss,12.0,10,5,0.003,balanced,11,57,0.6809954751131222,0.647456910318318
log_loss,,2,5,0.003,balanced,11,57,0.6809954751131222,0.647456910318318
log_loss,,5,5,0.003,balanced,11,57,0.6809954751131222,0.647456910318318
log_loss,,10,5,0.003,balanced,11,57,0.6809954751131222,0.647456910318318
gini,8.0,2,5,0.0,balanced,8,103,0.6764705882352942,0.6469079939668175
gini,8.0,5,5,0.0,balanced,8,103,0.6764705882352942,0.6469079939668175
gini,8.0,10,5,0.0,balanced,8,103,0.6764705882352942,0.6469079939668175
entropy,10.0,10,1,0.001,balanced,10,159,0.6832579185520362,0.6464764897542387
log_loss,10.0,10,1,0.001,balanced,10,159,0.6832579185520362,0.6464764897542387
entropy,10.0,5,1,0.001,balanced,10,185,0.6832579185520362,0.6464217345416167
log_loss,10.0,5,1,0.001,balanced,10,185,0.6832579185520362,0.6464217345416167
entropy,8.0,2,1,0.003,balanced,8,53,0.6742081447963801,0.646104018504853
entropy,8.0,2,2,0.003,balanced,8,52,0.6742081447963801,0.646104018504853
entropy,8.0,5,1,0.003,balanced,8,53,0.6742081447963801,0.646104018504853
entropy,8.0,5,2,0.003,balanced,8,52,0.6742081447963801,0.646104018504853
log_loss,8.0,2,1,0.003,balanced,8,53,0.6742081447963801,0.646104018504853
log_loss,8.0,2,2,0.003,balanced,8,52,0.6742081447963801,0.646104018504853
log_loss,8.0,5,1,0.003,balanced,8,53,0.6742081447963801,0.646104018504853
log_loss,8.0,5,2,0.003,balanced,8,52,0.6742081447963801,0.646104018504853
entropy,10.0,2,1,0.003,balanced,10,62,0.6787330316742082,0.6451293682417476
entropy,10.0,2,2,0.003,balanced,10,61,0.6787330316742082,0.6451293682417476
entropy,10.0,5,1,0.003,balanced,10,62,0.6787330316742082,0.6451293682417476
entropy,10.0,5,2,0.003,balanced,10,61,0.6787330316742082,0.6451293682417476
log_loss,10.0,2,1,0.003,balanced,10,62,0.6787330316742082,0.6451293682417476
log_loss,10.0,2,2,0.003,balanced,10,61,0.6787330316742082,0.6451293682417476
log_loss,10.0,5,1,0.003,balanced,10,62,0.6787330316742082,0.6451293682417476
log_loss,10.0,5,2,0.003,balanced,10,61,0.6787330316742082,0.6451293682417476
entropy,10.0,2,2,0.0,balanced,10,214,0.6809954751131222,0.6449451374191321
log_loss,10.0,2,2,0.0,balanced,10,214,0.6809954751131222,0.6449451374191321
